user_id,user_link,user_name,user_nationality,level_tag,user_level,badge_tag,user_badge,game_tag,user_games,Cluster
76561198313213023,https://steamcommunity.com/profiles/76561198313213023/,逃兵出列,,20-50,31,0-20,11,100-500,110,0
76561199081510009,https://steamcommunity.com/profiles/76561199081510009/,霹雳胖虎,,0-20,3,0-20,2,0-20,8,0
76561199067130135,https://steamcommunity.com/profiles/76561199067130135/,牛牛好舒服啊,China,0-20,8,None,-1,None,-1,0
76561198321145376,https://steamcommunity.com/profiles/76561198321145376/,Kobayashi Connor,China,0-20,10,0-20,7,0-20,17,0
76561199141578140,https://steamcommunity.com/profiles/76561199141578140/,暗口崩子,,0-20,3,0-20,2,20-50,42,0
76561198294682286,https://steamcommunity.com/profiles/76561198294682286/,吴小逗,"Chongqing, Chongqing, China",50-100,74,20-50,31,100-500,356,0
KellyL,https://steamcommunity.com/id/KellyL/,Neal,,0-20,16,0-20,11,0-20,17,0
76561198068998538,https://steamcommunity.com/profiles/76561198068998538/,和滴神啊,"Shandong, China",20-50,30,None,-1,None,-1,2
76561198391059817,https://steamcommunity.com/profiles/76561198391059817/,BOT阿尔托莉雅·潘德拉贡,"Tokyo, Japan",0-20,14,0-20,12,100-500,157,0
K1rchenl,https://steamcommunity.com/id/K1rchenl/,K1rchenl,"Tokyo, Japan",100-200,133,100-500,127,100-500,155,1
76561198758814105,https://steamcommunity.com/profiles/76561198758814105/,Thresh,"Shandong, China",0-20,8,0-20,5,20-50,35,0
76561198361767761,https://steamcommunity.com/profiles/76561198361767761/,小龙虾,,,-1,None,-1,None,-1,0
76561199075993700,https://steamcommunity.com/profiles/76561199075993700/,JIHUI,,0-20,5,0-20,4,20-50,21,0
76561198224455140,https://steamcommunity.com/profiles/76561198224455140/,阳光小猫猫★,,0-20,8,None,-1,None,-1,0
76561199010284044,https://steamcommunity.com/profiles/76561199010284044/,Burger,"Beijing, China",20-50,20,20-50,30,50-100,95,0
76561198098707647,https://steamcommunity.com/profiles/76561198098707647/,呦！臭弟弟,"Beijing, China",0-20,9,0-20,5,20-50,21,0
76561198126746662,https://steamcommunity.com/profiles/76561198126746662/,霖亭潇湘客,,20-50,24,20-50,27,100-500,217,0
76561198209342031,https://steamcommunity.com/profiles/76561198209342031/,约定之黑吗喽,China,0-20,15,0-20,10,100-500,117,0
76561198142673203,https://steamcommunity.com/profiles/76561198142673203/,我要我觉得,"Shanghai, Shanghai, China",0-20,10,0-20,5,100-500,105,0
76561198228235832,https://steamcommunity.com/profiles/76561198228235832/,ZYZ,,20-50,30,20-50,42,100-500,152,0
76561198402074671,https://steamcommunity.com/profiles/76561198402074671/,旅夜,"Dangtu, Anhui, China",0-20,10,0-20,8,100-500,201,0
76561198096942532,https://steamcommunity.com/profiles/76561198096942532/,UR DADDY,,,-1,None,-1,None,-1,0
Korvald,https://steamcommunity.com/id/Korvald/,Korvald,,20-50,31,20-50,33,100-500,221,0
76561198850051972,https://steamcommunity.com/profiles/76561198850051972/,wumengker,,0-20,7,0-20,6,50-100,75,0
76561198346978032,https://steamcommunity.com/profiles/76561198346978032/,辣味饭团,China,0-20,11,0-20,8,100-500,103,0
76561198881934652,https://steamcommunity.com/profiles/76561198881934652/,托马斯回旋电吉他,,50-100,70,0-20,14,100-500,128,0
wheatgo,https://steamcommunity.com/id/wheatgo/,东方未明,"Langfang, Hebei, China",20-50,22,20-50,20,100-500,479,0
76561198293427480,https://steamcommunity.com/profiles/76561198293427480/,Simons,,0-20,7,0-20,4,20-50,29,0
76561198234423012,https://steamcommunity.com/profiles/76561198234423012/,青青草原第一突破口,,0-20,8,None,-1,None,-1,0
76561198042165665,https://steamcommunity.com/profiles/76561198042165665/,ZYCN,"Chengdu, Sichuan, China",20-50,40,0-20,17,100-500,201,0
76561198107588956,https://steamcommunity.com/profiles/76561198107588956/,树倒猢狲散,,,-1,None,-1,None,-1,0
76561199435329310,https://steamcommunity.com/profiles/76561199435329310/,xiaozhengtongxue,China,0-20,6,0-20,6,50-100,52,0
76561198814423519,https://steamcommunity.com/profiles/76561198814423519/,各位对线之前饭做好了,,0-20,7,0-20,5,20-50,39,0
wangjianfeng233,https://steamcommunity.com/id/wangjianfeng233/,不要停下来啊,,,-1,None,-1,None,-1,0
vlyier,https://steamcommunity.com/id/vlyier/,vlyier,"Hefei, Anhui, China",0-20,17,0-20,13,100-500,220,0
voidwhite,https://steamcommunity.com/id/voidwhite/,voidwhite,,,-1,None,-1,None,-1,0
76561198386652094,https://steamcommunity.com/profiles/76561198386652094/,Fanoo,China,0-20,14,0-20,13,100-500,112,0
76561198361395610,https://steamcommunity.com/profiles/76561198361395610/,苏慕窈,,,-1,None,-1,None,-1,2
huasy10237,https://steamcommunity.com/id/huasy10237/,赫里福牛油锅底投手,"Changsha, Hunan, China",20-50,43,20-50,26,100-500,104,0
