用户链接,用户名,用户游戏国籍,用户等级,用户持有徽章数,用户持有游戏数,用户持有成就数
https://steamcommunity.com/profiles/76561198264162568/,allan1234,,5,,,
https://steamcommunity.com/profiles/76561198823117461/,我也不太了解她,,8,9,79,
https://steamcommunity.com/profiles/76561199068313922/,我幸苦搓的闪光弹凭什么给别人吃,"Zhejiang, China",9,,,
https://steamcommunity.com/profiles/76561198894549817/,3262094148,,5,4,19,
https://steamcommunity.com/profiles/76561199520387934/,15963202776,"Shandong, China",2,,,
https://steamcommunity.com/id/blackuma/,BlacKuma,,,,,
https://steamcommunity.com/profiles/76561198253510949/,落星,,10,6,54,2
https://steamcommunity.com/profiles/76561198386057985/,赫曼SAMA,China,17,11,66,
https://steamcommunity.com/profiles/76561198273077685/,Biangka,"Peking, Beijing, China",122,94,433,8
https://steamcommunity.com/id/xxxxxCDD/,饭团少女神山识,China,111,100,560,"9,110"
https://steamcommunity.com/id/ssuperjacob/,JACOB,China,47,42,139,1
https://steamcommunity.com/profiles/76561198406478568/,人类命运共同体,China,21,20,116,
https://steamcommunity.com/profiles/76561198316559028/,Glory knight,China,16,16,194,3
https://steamcommunity.com/profiles/76561199038611170/,Prozec,"Guangdong, China",11,10,110,110
https://steamcommunity.com/profiles/76561198257430202/,11111111,"Beijing, China",8,5,36,
https://steamcommunity.com/profiles/76561199193549663/,七海千秋,,42,21,176,399
